mLen,N,q,dF,dg,dr,actual_encryption_time,actual_decryption_time
510,649,1442,14,14,4,24,20,
42,455,2033,11,9,17,17,22,
1004,1066,2299,1,4,17,17,22,
43,602,580,14,2,10,19,16,
1501,445,2048,8,1,8,21,18,
44,897,2388,19,6,3,18,32,
45,361,1523,7,7,17,18,19,
511,555,2020,12,4,14,25,23,
46,257,2285,19,11,18,25,21,
47,278,967,8,18,16,23,19,
48,302,1156,16,18,13,16,16,
512,992,1628,6,15,3,27,23,
49,1146,1603,7,20,18,18,18,
1005,716,2012,11,16,20,19,20,
2001,441,674,4,1,1,21,21,
50,1276,795,18,6,3,21,22,
51,531,2086,12,9,12,20,16,
1502,394,2019,20,13,13,19,22,
52,678,2552,10,2,11,22,20,
513,487,1232,15,4,2,19,25,
53,298,1515,14,20,4,17,21,
54,275,891,9,20,2,16,17,
55,1051,2057,12,2,19,19,23,
1006,528,1670,5,10,5,21,19,
2501,744,1646,20,6,16,21,22,
514,519,1994,2,6,6,17,15,
56,418,2088,6,13,18,20,21,
57,1054,2241,3,4,7,22,21,
58,627,2491,2,18,6,24,26,
515,859,1972,18,19,14,34,28,
59,929,1138,12,20,4,33,27,
60,429,1213,4,14,19,23,21,
2002,1081,1413,1,10,6,26,20,
1503,1037,1244,16,12,5,19,19,
61,961,2063,14,3,13,19,21,
1007,613,2240,10,9,12,25,21,
62,830,2548,2,3,12,20,18,
516,919,1939,5,2,16,20,24,
63,773,2187,15,9,1,17,19,
64,1182,2216,12,4,19,21,20,
65,823,948,12,13,17,25,19,
517,804,537,17,10,1,22,21,
66,342,974,20,15,10,23,24,
1008,950,583,20,20,2,16,18,
67,359,1942,14,8,18,34,22,
68,504,1788,4,15,20,23,20,
2502,331,1075,9,3,5,20,22,
1504,373,1543,12,5,17,28,22,
518,424,1789,17,7,13,19,22,
69,753,630,3,11,11,27,22,
70,762,2151,16,12,14,27,26,
2003,565,1060,4,9,5,22,16,
71,717,1353,10,11,11,25,22,
519,1245,525,18,3,18,21,24,
72,1024,1477,10,10,19,17,18,
1009,958,2324,11,3,17,30,23,
73,757,2406,2,17,7,20,19,
74,746,1496,1,15,13,18,17,
75,1031,2464,14,19,10,21,18,
520,1269,1259,12,20,2,22,21,
76,1036,821,13,18,18,22,20,
1505,619,2143,5,10,2,18,16,
77,443,1721,3,10,2,17,18,
1010,456,1292,7,5,6,24,20,
78,467,739,17,15,16,27,21,
521,1090,1109,14,8,19,17,17,
79,1213,1050,17,8,7,25,23,
80,435,630,8,6,3,18,20,
2004,620,1648,12,10,6,18,21,
2503,1178,1919,20,7,10,19,20,
81,681,1375,5,7,20,21,19,
522,1004,1518,13,3,1,24,19,
82,877,619,18,19,2,18,20,
83,344,556,2,19,19,18,21,
1011,427,539,18,17,4,20,18,
1506,570,2307,18,2,1,15,16,
84,480,1726,6,2,9,20,20,
523,281,1110,20,2,1,26,22,
85,1051,1203,18,2,12,35,14,
86,1247,1024,3,19,13,21,20,
87,1053,1934,11,12,20,21,20,
524,975,1683,13,2,16,21,27,
88,425,1386,17,11,7,19,18,
1012,1048,1565,20,11,9,20,16,
89,1032,2357,16,11,20,22,18,
90,989,576,16,1,16,34,49,
525,553,2385,5,2,11,28,26,
2005,469,661,8,8,4,21,17,
91,777,661,20,2,6,17,18,
1507,1276,2242,2,18,19,16,18,
92,689,1856,15,7,9,28,28,
2504,603,1229,14,15,20,17,16,
93,523,1448,17,8,16,20,19,
526,558,1632,5,18,9,32,33,
1013,272,662,14,12,20,21,20,
94,1252,1588,5,2,18,25,31,
95,555,1361,18,8,4,20,22,
527,968,1699,3,9,9,26,19,
96,476,2227,19,17,6,20,18,
97,542,2456,4,3,9,25,28,
98,278,2067,18,11,7,21,20,
1014,1228,1110,15,6,8,25,28,
1508,612,1434,20,18,18,21,17,
528,1225,2281,7,2,15,21,21,
99,277,2201,10,17,1,21,22,
2006,1209,2036,15,7,6,17,21,
100,556,2016,5,6,11,21,23,
101,1195,1721,11,8,14,25,22,
529,442,1462,20,7,18,19,20,
102,757,2209,4,17,6,25,20,
103,264,701,16,19,15,20,19,
1015,795,1985,5,10,16,17,15,
2505,947,1872,5,15,3,26,25,
104,769,879,20,18,20,20,21,
530,529,1964,7,15,3,25,22,
105,1021,2535,12,1,4,21,23,
1509,1157,583,1,14,1,18,21,
106,993,1491,15,20,12,20,24,
107,689,1422,5,20,14,23,22,
531,1148,2455,20,4,4,16,19,
