N,q,dF,dg,dr,mLen,encryption_time,decryption_time
107,128,50,50,50,100,32,20
107,128,50,50,50,200,16,12
107,128,50,50,50,300,24,15
107,128,50,50,50,400,12,11
107,128,50,50,50,500,15,11
107,128,50,50,60,100,22,15
107,128,50,50,60,200,19,18
107,128,50,50,60,300,19,20
107,128,50,50,60,400,20,15
107,128,50,50,60,500,11,10
107,128,50,50,70,100,10,10
107,128,50,50,70,200,10,10
107,128,50,50,70,300,11,11
107,128,50,50,70,400,10,11
107,128,50,50,70,500,9,12
107,128,50,50,80,100,14,10
107,128,50,50,80,200,10,9
107,128,50,50,80,300,9,12
107,128,50,50,80,400,10,9
107,128,50,50,80,500,9,11
107,128,50,50,90,100,10,9
107,128,50,50,90,200,11,12
107,128,50,50,90,300,9,11
107,128,50,50,90,400,10,11
107,128,50,50,90,500,10,12
107,128,50,60,50,100,9,10
107,128,50,60,50,200,17,11
107,128,50,60,50,300,10,10
107,128,50,60,50,400,9,10
107,128,50,60,50,500,11,10
107,128,50,60,60,100,9,11
107,128,50,60,60,200,10,11
107,128,50,60,60,300,10,10
107,128,50,60,60,400,10,9
107,128,50,60,60,500,20,11
107,128,50,60,70,100,10,10
107,128,50,60,70,200,19,19
107,128,50,60,70,300,17,12
107,128,50,60,70,400,15,16
107,128,50,60,70,500,14,16
107,128,50,60,80,100,14,16
107,128,50,60,80,200,9,10
107,128,50,60,80,300,15,14
107,128,50,60,80,400,16,20
107,128,50,60,80,500,18,13
107,128,50,60,90,100,18,17
107,128,50,60,90,200,18,15
107,128,50,60,90,300,15,13
107,128,50,60,90,400,21,11
107,128,50,60,90,500,13,14
107,128,50,70,50,100,14,14
107,128,50,70,50,200,19,11
107,128,50,70,50,300,16,15
107,128,50,70,50,400,27,24
107,128,50,70,50,500,10,12
107,128,50,70,60,100,11,11
107,128,50,70,60,200,20,13
107,128,50,70,60,300,11,13
107,128,50,70,60,400,11,13
107,128,50,70,60,500,18,17
107,128,50,70,70,100,15,14
107,128,50,70,70,200,17,15
107,128,50,70,70,300,16,14
107,128,50,70,70,400,19,15
107,128,50,70,70,500,17,11
107,128,50,70,80,100,17,19
107,128,50,70,80,200,18,14
107,128,50,70,80,300,10,13
107,128,50,70,80,400,10,11
107,128,50,70,80,500,14,19
107,128,50,70,90,100,18,11
107,128,50,70,90,200,19,12
107,128,50,70,90,300,15,9
107,128,50,70,90,400,15,10
107,128,50,70,90,500,21,15
107,128,50,80,50,100,21,12
107,128,50,80,50,200,19,15
107,128,50,80,50,300,13,16
107,128,50,80,50,400,19,11
107,128,50,80,50,500,16,13
107,128,50,80,60,100,9,9
107,128,50,80,60,200,12,15
107,128,50,80,60,300,15,15
107,128,50,80,60,400,14,15
107,128,50,80,60,500,20,14
107,128,50,80,70,100,13,11
107,128,50,80,70,200,13,14
107,128,50,80,70,300,24,15
107,128,50,80,70,400,19,11
107,128,50,80,70,500,13,11
107,128,50,80,80,100,12,11
107,128,50,80,80,200,13,13
107,128,50,80,80,300,21,19
107,128,50,80,80,400,11,11
107,128,50,80,80,500,16,19
107,128,50,80,90,100,10,9
107,128,50,80,90,200,11,9
107,128,50,80,90,300,22,11
107,128,50,80,90,400,24,13
107,128,50,80,90,500,19,19
107,128,50,90,50,100,18,12
107,128,50,90,50,200,9,9
107,128,50,90,50,300,13,15
107,128,50,90,50,400,14,10
107,128,50,90,50,500,21,18
107,128,50,90,60,100,9,10
107,128,50,90,60,200,11,14
107,128,50,90,60,300,16,14
107,128,50,90,60,400,17,13
107,128,50,90,60,500,15,17
107,128,50,90,70,100,14,17
107,128,50,90,70,200,28,24
107,128,50,90,70,300,16,13
107,128,50,90,70,400,20,13
107,128,50,90,70,500,21,19
107,128,50,90,80,100,17,14
107,128,50,90,80,200,16,16
107,128,50,90,80,300,18,14
107,128,50,90,80,400,14,11
107,128,50,90,80,500,17,18
107,128,50,90,90,100,16,11
107,128,50,90,90,200,18,22
107,128,50,90,90,300,17,15
107,128,50,90,90,400,21,12
107,128,50,90,90,500,20,16
107,128,60,50,50,100,14,10
107,128,60,50,50,200,10,10
107,128,60,50,50,300,23,20
107,128,60,50,50,400,13,16
107,128,60,50,50,500,10,10
107,128,60,50,60,100,16,13
107,128,60,50,60,200,15,17
107,128,60,50,60,300,21,20
107,128,60,50,60,400,16,20
107,128,60,50,60,500,10,10
107,128,60,50,70,100,12,11
107,128,60,50,70,200,17,12
107,128,60,50,70,300,21,11
107,128,60,50,70,400,17,15
107,128,60,50,70,500,21,12
107,128,60,50,80,100,12,11
107,128,60,50,80,200,12,13
107,128,60,50,80,300,13,16
107,128,60,50,80,400,20,11
107,128,60,50,80,500,18,12
107,128,60,50,90,100,15,13
107,128,60,50,90,200,22,13
107,128,60,50,90,300,17,16
107,128,60,50,90,400,12,10
107,128,60,50,90,500,13,10
107,128,60,60,50,100,18,12
107,128,60,60,50,200,18,13
107,128,60,60,50,300,19,12
107,128,60,60,50,400,10,9
107,128,60,60,50,500,13,9
107,128,60,60,60,100,13,13
107,128,60,60,60,200,11,10
107,128,60,60,60,300,9,10
107,128,60,60,60,400,18,23
107,128,60,60,60,500,14,13
107,128,60,60,70,100,12,17
107,128,60,60,70,200,17,26
107,128,60,60,70,300,11,13
107,128,60,60,70,400,9,9
107,128,60,60,70,500,12,11
107,128,60,60,80,100,9,9
107,128,60,60,80,200,20,23
107,128,60,60,80,300,10,11
107,128,60,60,80,400,11,16
107,128,60,60,80,500,16,15
107,128,60,60,90,100,10,11
107,128,60,60,90,200,14,9
107,128,60,60,90,300,14,14
107,128,60,60,90,400,18,12
107,128,60,60,90,500,16,10
107,128,60,70,50,100,10,11
107,128,60,70,50,200,12,9
107,128,60,70,50,300,14,11
107,128,60,70,50,400,18,13
107,128,60,70,50,500,14,10
107,128,60,70,60,100,14,11
107,128,60,70,60,200,13,10
107,128,60,70,60,300,13,18
107,128,60,70,60,400,15,18
107,128,60,70,60,500,17,12
107,128,60,70,70,100,19,11
107,128,60,70,70,200,21,26
107,128,60,70,70,300,21,18
107,128,60,70,70,400,17,10
107,128,60,70,70,500,19,11
107,128,60,70,80,100,18,18
107,128,60,70,80,200,24,15
107,128,60,70,80,300,14,15
107,128,60,70,80,400,10,9
107,128,60,70,80,500,21,23
107,128,60,70,90,100,13,9
107,128,60,70,90,200,13,10
107,128,60,70,90,300,18,17
107,128,60,70,90,400,19,11
107,128,60,70,90,500,11,12
107,128,60,80,50,100,19,17
107,128,60,80,50,200,17,12
107,128,60,80,50,300,19,17
107,128,60,80,50,400,12,10
107,128,60,80,50,500,14,13
107,128,60,80,60,100,10,10
107,128,60,80,60,200,10,19
107,128,60,80,60,300,10,15
107,128,60,80,60,400,13,12
107,128,60,80,60,500,22,13
107,128,60,80,70,100,22,20
107,128,60,80,70,200,12,13
107,128,60,80,70,300,13,13
107,128,60,80,70,400,12,11
107,128,60,80,70,500,18,11
107,128,60,80,80,100,13,13
107,128,60,80,80,200,11,10
107,128,60,80,80,300,13,13
107,128,60,80,80,400,16,9
107,128,60,80,80,500,10,10
107,128,60,80,90,100,15,13
107,128,60,80,90,200,19,12
107,128,60,80,90,300,20,12
107,128,60,80,90,400,12,11
107,128,60,80,90,500,22,11
107,128,60,90,50,100,19,11
107,128,60,90,50,200,18,16
107,128,60,90,50,300,19,16
107,128,60,90,50,400,19,11
107,128,60,90,50,500,20,13
107,128,60,90,60,100,16,10
